Id,Title,Author,Link
389,The Great God Pan,Arthur Machen,http://www.gutenberg.org/ebooks/389
392,Jerusalem Delivered,Torquato Tasso,http://www.gutenberg.org/ebooks/392
398,The First Book of Adam and Eve,Rutherford Hayes Platt,http://www.gutenberg.org/ebooks/398
399,Cast Upon the Breakers,Jr. Horatio Alger,http://www.gutenberg.org/ebooks/399
412,John Jacob Astor,Elbert Hubbard,http://www.gutenberg.org/ebooks/412
417,Dr. Martin Luther's Deutsche Geistliche Lieder,Martin Luther,http://www.gutenberg.org/ebooks/417
418,A Treatise on Good Works,Martin Luther,http://www.gutenberg.org/ebooks/418
419,The Magic of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/419
420,Dorothy and the Wizard in Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/420
421,Kidnapped,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/421
434,The Circular Staircase,Mary Roberts Rinehart,http://www.gutenberg.org/ebooks/434
436,The Master Key,L. Frank Baum,http://www.gutenberg.org/ebooks/436
441,"New Poems, and Variant Readings",Robert Louis Stevenson,http://www.gutenberg.org/ebooks/441
443,The Love Affairs of a Bibliomaniac,Eugene Field,http://www.gutenberg.org/ebooks/443
444,"System of Economical Contradictions; Or, The Philosophy of Misery",P.-J. Proudhon,http://www.gutenberg.org/ebooks/444
446,A Book of Remarkable Criminals,H. B. Irving,http://www.gutenberg.org/ebooks/446
448,The Psychology of Revolution,Gustave Le Bon,http://www.gutenberg.org/ebooks/448
449,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology",,http://www.gutenberg.org/ebooks/449
456,"The Door in the Wall, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/456
460,The Dawn of a To-morrow,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/460
462,"The Errand Boy; Or, How Phil Brent Won Success",Jr. Horatio Alger,http://www.gutenberg.org/ebooks/462
463,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,http://www.gutenberg.org/ebooks/463
470,Heretics,G. K. Chesterton,http://www.gutenberg.org/ebooks/470
471,The Bride of Lammermoor,Walter Scott,http://www.gutenberg.org/ebooks/471
477,Criminal Sociology,Enrico Ferri,http://www.gutenberg.org/ebooks/477
479,Little Lord Fauntleroy,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/479
484,"Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks",Optic,http://www.gutenberg.org/ebooks/484
485,The Road to Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/485
486,Ozma of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/486
496,The Little Lame Prince,Dinah Maria Mulock Craik,http://www.gutenberg.org/ebooks/496
498,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,http://www.gutenberg.org/ebooks/498
499,"Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of",,http://www.gutenberg.org/ebooks/499
501,The Story of Doctor Dolittle,Hugh Lofting,http://www.gutenberg.org/ebooks/501
502,Desert Gold,Zane Grey,http://www.gutenberg.org/ebooks/502
503,The Blue Fairy Book,Andrew Lang,http://www.gutenberg.org/ebooks/503
507,Adam Bede,George Eliot,http://www.gutenberg.org/ebooks/507
508,Twice-Told Tales,Nathaniel Hawthorne,http://www.gutenberg.org/ebooks/508
512,"Mosses from an Old Manse, and Other Stories",Nathaniel Hawthorne,http://www.gutenberg.org/ebooks/512
514,Little Women,Louisa May Alcott,http://www.gutenberg.org/ebooks/514
517,The Emerald City of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/517
518,The Enchanted Island of Yew,L. Frank Baum,http://www.gutenberg.org/ebooks/518
519,A Kidnapped Santa Claus,L. Frank Baum,http://www.gutenberg.org/ebooks/519
520,The Life and Adventures of Santa Claus,L. Frank Baum,http://www.gutenberg.org/ebooks/520
528,"Joe the Hotel Boy; Or, Winning out",Pluck Jr. Horatio Alger,http://www.gutenberg.org/ebooks/528
529,Knights of Art: Stories of the Italian Painters,Amy Steedman,http://www.gutenberg.org/ebooks/529
530,"Driven from Home; Or, Carl Crawford's Experience",Jr. Horatio Alger,http://www.gutenberg.org/ebooks/530
533,The Song of the Cardinal,Gene Stratton-Porter,http://www.gutenberg.org/ebooks/533
538,Jean of the Lazy A,B. M. Bower,http://www.gutenberg.org/ebooks/538
539,A. W. Kinglake: A Biographical and Literary Study,William Tuckwell,http://www.gutenberg.org/ebooks/539
540,The Red Fairy Book,Andrew Lang,http://www.gutenberg.org/ebooks/540
542,The Life of Me: An Autobiography,Clarence Edgar Johnson,http://www.gutenberg.org/ebooks/542
544,Anne's House of Dreams,L. M. Montgomery,http://www.gutenberg.org/ebooks/544
545,At the Earth's Core,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/545
547,Baron Trigault's Vengeance,Emile Gaboriau,http://www.gutenberg.org/ebooks/547
548,"Project Trinity, 1945-1946",Carl R. Maag and Steve Rohrer,http://www.gutenberg.org/ebooks/548
551,The Land That Time Forgot,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/551
552,The People That Time Forgot,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/552
553,Out of Time's Abyss,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/553
557,Puck of Pook's Hill,Rudyard Kipling,http://www.gutenberg.org/ebooks/557
558,The Thirty-Nine Steps,John Buchan,http://www.gutenberg.org/ebooks/558
559,Greenmantle,John Buchan,http://www.gutenberg.org/ebooks/559
560,Mr. Standfast,John Buchan,http://www.gutenberg.org/ebooks/560
564,The Mystery of Edwin Drood,Charles Dickens,http://www.gutenberg.org/ebooks/564
571,The 1995 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/571
572,The Great Big Treasury of Beatrix Potter,Beatrix Potter,http://www.gutenberg.org/ebooks/572
575,"The Essays or Counsels, Civil and Moral",Francis Bacon,http://www.gutenberg.org/ebooks/575
582,A Collection of Beatrix Potter Stories,Beatrix Potter,http://www.gutenberg.org/ebooks/582
583,The Woman in White,Wilkie Collins,http://www.gutenberg.org/ebooks/583
584,"Our Nig; Or, Sketches from the Life of a Free Black, in a Two-story White House,",,http://www.gutenberg.org/ebooks/584
